"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"187","TWN","Asia","Taiwan","2020-10-20",540,0,1.429,7,0,0,22.673,0,0.06,0.294,0,0
"188","TJK","Asia","Tajikistan","2020-10-20",10533,40,39,80,0,0.143,1104.361,4.194,4.089,8.388,0,0.015
"189","TZA","Africa","Tanzania","2020-10-20",509,0,0,21,0,0,8.521,0,0,0.352,0,0
"190","THA","Asia","Thailand","2020-10-20",3700,9,8.143,59,0,0,53.009,0.129,0.117,0.845,0,0
"191","TLS","Asia","Timor","2020-10-20",29,0,0,NA,0,0,21.996,0,0,NA,0,0
"192","TGO","Africa","Togo","2020-10-20",2071,14,17.429,51,0,0.286,250.159,1.691,2.105,6.16,0,0.035
"193","TTO","North America","Trinidad and Tobago","2020-10-20",5298,1,26,97,1,0.714,3785.662,0.715,18.578,69.311,0.715,0.51
"194","TUN","Africa","Tunisia","2020-10-20",42727,2185,1453,687,61,29.857,3615.228,184.878,122.942,58.129,5.161,2.526
"195","TUR","Asia","Turkey","2020-10-20",349519,2026,1767.429,9371,75,68,4144.212,24.022,20.956,111.111,0.889,0.806
"196","TCA","North America","Turks and Caicos Islands","2020-10-20",698,0,0.286,6,0,0,18027.791,0,7.379,154.967,0,0
"197","UGA","Africa","Uganda","2020-10-20",10691,101,118.143,97,0,0.429,233.729,2.208,2.583,2.121,0,0.009
"198","UKR","Europe","Ukraine","2020-10-20",309107,5469,6236.143,5786,113,110.143,7067.927,125.052,142.593,132.301,2.584,2.518
"199","ARE","Asia","United Arab Emirates","2020-10-20",116517,915,1317.714,466,3,2.857,11780.818,92.514,133.232,47.116,0.303,0.289
"200","GBR","Europe","UK","2020-10-20",741212,18803,17646.286,43726,80,121.571,10918.48,276.979,259.94,644.109,1.178,1.791
"201","USA","North America","USA","2020-10-20",8214755,60160,58651.143,220133,459,721.143,24817.792,181.751,177.192,665.049,1.387,2.179
"202","VIR","North America","USA Virgin Islands","2020-10-20",1336,1,1.571,21,0,0.143,12794.116,9.576,15.049,201.105,0,1.368
"203","URY","South America","Uruguay","2020-10-20",2560,29,35.286,51,0,0,736.961,8.348,10.158,14.682,0,0
"204","UZB","Asia","Uzbekistan","2020-10-20",63737,307,314.714,533,4,3.286,1904.348,9.173,9.403,15.925,0.12,0.098
"205","VAT","Europe","Vatican","2020-10-20",26,0,1,NA,0,0,32138.443,0,1236.094,NA,0,0
"206","VEN","South America","Venezuela","2020-10-20",86636,0,411.429,736,0,4.571,3046.707,0,14.469,25.883,0,0.161
"207","VNM","Asia","Vietnam","2020-10-20",1140,6,4.286,35,0,0,11.712,0.062,0.044,0.36,0,0
"208","WLF","Oceania","Wallis and Futuna","2020-10-20",1,0,NA,NA,0,NA,88.921,0,NA,NA,0,NA
"209","ESH","Africa","Western Sahara","2020-10-20",766,0,0,1,0,0,1282.373,0,0,1.674,0,0
"210","YEM","Asia","Yemen","2020-10-20",2060,1,0.571,599,2,0.429,69.067,0.034,0.019,20.083,0.067,0.014
"211","ZMB","Africa","Zambia","2020-10-20",15897,44,49.714,346,0,0.143,864.721,2.393,2.704,18.821,0,0.008
"212","ZWE","Africa","Zimbabwe","2020-10-20",8159,12,19.714,232,1,0.286,548.95,0.807,1.326,15.609,0.067,0.019
"213","OWID_WRL","","World","2020-10-20",40519479,349142,371334.429,1119547,4673,5398,5198.271,44.792,47.639,143.627,0.6,0.693
"214","","","Antarctica","2020-10-20",1,1,1,1,1,1,1,1,1,1,1,1
